ProvNames,PopData
黑龙江省,81.7
内蒙古自治区,20.9
新疆维吾尔自治区,13.1
吉林省,147
辽宁省,296
甘肃省,56.3
河北省,378
北京市,1167
山西省,229
天津市,1085
陕西省,181
宁夏回族自治区,94.9
青海省,7.8
山东省,610
西藏自治区,2.46
河南省,563
江苏省,767
安徽省,463
四川省,165
湖北省,305
重庆市,350
上海市,3701
浙江省,523
湖南省,310
江西省,267
云南省,117
贵州省,204
福建省,307
广西壮族自治区,194
台湾省,651
广东省,564
香港特别行政区,6639
海南省,255
澳门特别行政区,18811
